icd9_code,icd9_code_nodot,specialty,sheet,procedure_group,operation,msbos,msbos_meaning,recommended_units
04.72,0472,ENT (Otolaryngology),ENT,Facial plastic,Facial reanimation surgery,none,No blood preparation,
04.73,0473,ENT (Otolaryngology),ENT,Facial plastic,Facial reanimation surgery,none,No blood preparation,
06.02,0602,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.02,0602,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.02,0602,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.09,0609,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.09,0609,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.09,0609,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.12,0612,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.12,0612,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.12,0612,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.13,0613,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.13,0613,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.19,0619,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.19,0619,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.2,062,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
