oprtact,icd9,icd9_nodot,score,human_index,human_agreed,human_icd9,name
IS280,8606,8606,0.989,1,false,371,Insertion of totally implantable infusion pump
IS281,8376,8376,0.964,1,false,8375,Other tendon transposition
IS282,6211,6211,0.998,1,false,6212,Closed [percutaneous] [needle] biopsy of testis
IS283,6211,6211,1.000,1,false,6212,Closed [percutaneous] [needle] biopsy of testis
IS284,9984,9984,0.951,0,true,,Isolation
IS285,3402,3402,0.957,0,true,,Exploratory thoracotomy
IS286,62,62,1.000,1,false,631,Unilateral thyroid lobectomy
IS287,8411,8411,1.000,1,false,8116,Amputation of toe
IS288,5995,5995,1.000,1,false,9851,Ultrasonic fragmentation of urinary stones
IS289,6011,6011,0.950,1,false,6018,Closed [percutaneous] [needle] biopsy of prostate
IS290,600,600,0.984,0,true,,Incision of prostate
IS291,5792,5792,0.966,0,true,,Dilation of bladder neck
IS292,6097,6097,0.926,1,false,6095,Other transurethral destruction of prostate tissue by other thermotherapy
IS293,603,603,0.919,1,false,5674,Suprapubic prostatectomy
IS294,4401,4401,1.000,1,false,4403,Truncal vagotomy
IS295,8545,8545,1.000,1,false,8547,Unilateral radical mastectomy
IS296,8541,8541,1.000,1,false,8543,Unilateral simple mastectomy
IS297,5531,5531,0.959,1,false,6731,Marsupialization of kidney lesion
IS298,887,887,1.000,1,false,886,Upper eyelid rhytidectomy
IS299,886,886,1.000,1,false,887,Lower eyelid rhytidectomy
IS300,5641,5641,0.959,0,true,,Partial ureterectomy
IS301,562,562,1.000,1,false,427,Ureterotomy
IS302,5846,5846,1.000,1,false,5844,Other reconstruction of urethra
IS303,631,631,1.000,1,false,622,Excision of varicocele and hydrocele of spermatic cord
IS304,3853,3853,0.935,1,false,3859,"Ligation and stripping of varicose veins, upper limb vessels"
IS305,6373,6373,0.936,1,false,6371,Vasectomy
IS306,6382,6382,1.000,1,false,6384,Reconstruction of surgically divided vas deferens
IS307,6383,6383,0.913,0,true,,Epididymovasostomy
IS308,527,527,1.000,1,false,526,Radical pancreaticoduodenectomy
IS309,2742,2742,0.986,1,false,864,Wide excision of lesion of lip
IS310,9984,9984,1.000,0,true,,Isolation
IS311,6441,6441,0.985,1,false,2181,Suture of laceration of penis
IS312,8051,8051,1.000,1,false,8462,Excision of intervertebral disc
IS313,8102,8102,1.000,1,false,8132,"Other cervical fusion of the anterior column, anterior technique"
